Precision Recall_train	
iteration_24_Precision	,7,1
iteration_24_Recall	,0,0.723077
iteration_24_Recall	,1,0.968571
iteration_24_Recall	,2,0.929577
iteration_24_Recall	,3,0.88189
iteration_24_Recall	,4,0.966165
iteration_24_Recall	,5,0.878788
iteration_24_Recall	,6,1
iteration_24_Recall	,7,1
iteration_25_Precision	,0,1
iteration_25_Precision	,1,0.901333
iteration_25_Precision	,2,1
iteration_25_Precision	,3,0.926829
iteration_25_Precision	,4,0.95539
iteration_25_Precision	,5,0.967213
iteration_25_Precision	,6,1
iteration_25_Precision	,7,1
iteration_25_Recall	,0,0.769231
iteration_25_Recall	,1,0.965714
iteration_25_Recall	,2,0.943662
iteration_25_Recall	,3,0.897638
iteration_25_Recall	,4,0.966165
iteration_25_Recall	,5,0.893939
iteration_25_Recall	,6,1
iteration_25_Recall	,7,1
iteration_26_Precision	,0,1
iteration_26_Precision	,1,0.906166
iteration_26_Precision	,2,1
iteration_26_Precision	,3,0.942623
iteration_26_Precision	,4,0.95203
iteration_26_Precision	,5,0.983333
iteration_26_Precision	,6,1
iteration_26_Precision	,7,1
iteration_26_Recall	,0,0.784615
iteration_26_Recall	,1,0.965714
iteration_26_Recall	,2,0.957746
iteration_26_Recall	,3,0.905512
iteration_26_Recall	,4,0.969925
iteration_26_Recall	,5,0.893939
iteration_26_Recall	,6,1
iteration_26_Recall	,7,1
iteration_27_Precision	,0,1
iteration_27_Precision	,1,0.915989
iteration_27_Precision	,2,1
iteration_27_Precision	,3,0.943089
iteration_27_Precision	,4,0.955556
iteration_27_Precision	,5,0.983607
iteration_27_Precision	,6,1
iteration_27_Precision	,7,1
iteration_27_Recall	,0,0.815385
iteration_27_Recall	,1,0.965714
iteration_27_Recall	,2,0.971831
iteration_27_Recall	,3,0.913386
iteration_27_Recall	,4,0.969925
iteration_27_Recall	,5,0.909091
iteration_27_Recall	,6,1
iteration_27_Recall	,7,1
iteration_28_Precision	,0,1
iteration_28_Precision	,1,0.918919
iteration_28_Precision	,2,1
iteration_28_Precision	,3,0.958678
iteration_28_Precision	,4,0.966543
iteration_28_Precision	,5,1
iteration_28_Precision	,6,1
iteration_28_Precision	,7,1
iteration_28_Recall	,0,0.815385
iteration_28_Recall	,1,0.971429
iteration_28_Recall	,2,0.985915
iteration_28_Recall	,3,0.913386
iteration_28_Recall	,4,0.977444
iteration_28_Recall	,5,0.939394
iteration_28_Recall	,6,1
iteration_28_Recall	,7,1
iteration_29_Precision	,0,1
iteration_29_Precision	,1,0.923913
iteration_29_Precision	,2,1
iteration_29_Precision	,3,0.95082
iteration_29_Precision	,4,0.970149
iteration_29_Precision	,5,1
iteration_29_Precision	,6,1
iteration_29_Precision	,7,1
iteration_29_Recall	,0,0.846154
iteration_29_Recall	,1,0.971429
iteration_29_Recall	,2,0.985915
iteration_29_Recall	,3,0.913386
iteration_29_Recall	,4,0.977444
iteration_29_Recall	,5,0.939394
iteration_29_Recall	,6,1
iteration_29_Recall	,7,1
iteration_30_Precision	,0,1
iteration_30_Precision	,1,0.926829
iteration_30_Precision	,2,1
iteration_30_Precision	,3,0.966942
iteration_30_Precision	,4,0.970149
iteration_30_Precision	,5,1
iteration_30_Precision	,6,1
iteration_30_Precision	,7,1
iteration_30_Recall	,0,0.830769
iteration_30_Recall	,1,0.977143
iteration_30_Recall	,2,0.985915
iteration_30_Recall	,3,0.92126
iteration_30_Recall	,4,0.977444
iteration_30_Recall	,5,0.954545
iteration_30_Recall	,6,1
iteration_30_Recall	,7,1
iteration_31_Precision	,0,1
iteration_31_Precision	,1,0.934605
iteration_31_Precision	,2,1
iteration_31_Precision	,3,0.97541
iteration_31_Precision	,4,0.973783
iteration_31_Precision	,5,1
iteration_31_Precision	,6,1
iteration_31_Precision	,7,1
