,weight,gain,cover,total_gain,total_cover
feature_443,3.0,5.373648166656494,178.00396728515625,16.12094497680664,534.0119018554688
feature_445,2.0,1.3599867820739746,27.465869903564453,2.719973564147949,54.931739807128906
feature_449,1.0,3.06469988822937,272.78546142578125,3.06469988822937,272.78546142578125
feature_455,1.0,8.524144172668457,190.98406982421875,8.524144172668457,190.98406982421875
feature_462,1.0,1.3759676218032837,25.229162216186523,1.3759676218032837,25.229162216186523
feature_463,1.0,8.917877197265625,42.28071594238281,8.917877197265625,42.28071594238281
feature_469,1.0,3.226870059967041,31.99167823791504,3.226870059967041,31.99167823791504
feature_472,1.0,0.8667330741882324,34.863372802734375,0.8667330741882324,34.863372802734375
feature_482,2.0,2.089061737060547,54.673099517822266,4.178123474121094,109.34619903564453
feature_487,5.0,4.407933235168457,222.2867431640625,22.0396671295166,1111.4337158203125
feature_488,1.0,3.692023515701294,226.06150817871094,3.692023515701294,226.06150817871094
feature_491,1.0,18.867568969726562,312.8057556152344,18.867568969726562,312.8057556152344
feature_495,1.0,4.366049766540527,387.37628173828125,4.366049766540527,387.37628173828125
feature_496,1.0,6.112924575805664,142.05496215820312,6.112924575805664,142.05496215820312
feature_499,3.0,2.5858232975006104,89.87686920166016,7.75747013092041,269.630615234375
feature_503,1.0,2.3278298377990723,29.26401138305664,2.3278298377990723,29.26401138305664
feature_505,1.0,2.455146312713623,70.75667572021484,2.455146312713623,70.75667572021484
feature_508,2.0,2.774123430252075,64.26039123535156,5.54824686050415,128.52078247070312
feature_510,1.0,3.3395659923553467,6.790764808654785,3.3395659923553467,6.790764808654785
feature_511,2.0,7.464425086975098,56.68202590942383,14.928850173950195,113.36405181884766
feature_512,2.0,7.697788238525391,41.70977783203125,15.395576477050781,83.4195556640625
feature_513,1.0,1.9220256805419922,28.975807189941406,1.9220256805419922,28.975807189941406
feature_514,3.0,2.747807741165161,172.38592529296875,8.243423461914062,517.1577758789062
feature_517,1.0,3.239314079284668,263.4347839355469,3.239314079284668,263.4347839355469
feature_521,1.0,3.1390798091888428,41.13222885131836,3.1390798091888428,41.13222885131836
feature_522,1.0,1.9156996011734009,142.14126586914062,1.9156996011734009,142.14126586914062
feature_523,3.0,7.012503147125244,368.7046203613281,21.03750991821289,1106.1138916015625
feature_524,1.0,4.018687725067139,57.864967346191406,4.018687725067139,57.864967346191406
feature_525,1.0,5.883335113525391,15.886688232421875,5.883335113525391,15.886688232421875
feature_526,1.0,25.13681411743164,544.46875,25.13681411743164,544.46875
feature_527,2.0,52.675045013427734,140.73080444335938,105.35009002685547,281.46160888671875
feature_528,3.0,3.935344696044922,211.1329345703125,11.806034088134766,633.3988037109375
feature_529,1.0,1.4460086822509766,24.150239944458008,1.4460086822509766,24.150239944458008
feature_532,1.0,0.881589412689209,44.106231689453125,0.881589412689209,44.106231689453125
feature_533,3.0,6.037900924682617,413.3115234375,18.11370277404785,1239.9345703125
feature_536,1.0,14.155200004577637,117.74666595458984,14.155200004577637,117.74666595458984
feature_537,1.0,3.4137611389160156,34.429473876953125,3.4137611389160156,34.429473876953125
feature_538,2.0,6.222866058349609,169.3025360107422,12.445732116699219,338.6050720214844
feature_539,2.0,11.10739517211914,42.98493576049805,22.21479034423828,85.9698715209961
feature_545,3.0,2.6392295360565186,40.06168746948242,7.917688369750977,120.18505859375
feature_546,2.0,4.91484260559082,53.88615036010742,9.82968521118164,107.77230072021484
feature_547,3.0,3.103926658630371,244.2454833984375,9.311779975891113,732.7364501953125
feature_549,3.0,6.586451053619385,208.7330322265625,19.759353637695312,626.1990966796875
feature_550,1.0,2.3114233016967773,42.942955017089844,2.3114233016967773,42.942955017089844
feature_551,3.0,3.0672104358673096,120.105224609375,9.201631546020508,360.315673828125
feature_553,3.0,2.4169886112213135,90.13843536376953,7.2509660720825195,270.4153137207031
feature_554,1.0,4.374225616455078,85.6941909790039,4.374225616455078,85.6941909790039
feature_558,2.0,4.316551208496094,103.07823181152344,8.633102416992188,206.15646362304688
feature_559,1.0,4.261385440826416,124.79396057128906,4.261385440826416,124.79396057128906
feature_561,1.0,2.2682955265045166,111.95024108886719,2.2682955265045166,111.95024108886719
